"filename", "language", "Python", "Markdown", "SQL", "JSON", "CSV", "comment", "blank", "total"
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\README.md", "Markdown", 0, 59, 0, 0, 0, 0, 10, 69
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\backup\database_elt_main_backup.db", "SQL", 0, 0, 14002, 0, 0, 0, 160, 14162
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\database_elt_main.db", "SQL", 0, 0, 13876, 0, 0, 0, 154, 14030
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_dev\database_elt_main_small copy.db", "SQL", 0, 0, 626, 0, 0, 0, 8, 634
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_dev\database_elt_main_small.db", "SQL", 0, 0, 760, 0, 0, 0, 5, 765
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_dev\database_elt_raw_small.db", "SQL", 0, 0, 7949, 0, 0, 77, 776, 8802
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_dev\dbms.ipynb", "JSON", 0, 0, 0, 191, 0, 0, 1, 192
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_spatial\places.ipynb", "JSON", 0, 0, 0, 395, 0, 0, 1, 396
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_spatial\places_freq_test1.csv", "CSV", 0, 0, 0, 0, 417, 0, 1, 418
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_spatial\places_freq_test2.csv", "CSV", 0, 0, 0, 0, 161, 0, 1, 162
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_spatial\places_freq_test3.csv", "CSV", 0, 0, 0, 0, 162, 0, 1, 163
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test.db", "SQL", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_TestMainDatabase.db", "SQL", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_database.db", "SQL", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_database2.db", "SQL", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_main_database.db", "SQL", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_raw_database.db", "SQL", 0, 0, 47, 0, 0, 0, 4, 51
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\test_database.db", "SQL", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\.ipynb_checkpoints\ELT_transform-checkpoint.py", "Python", 93, 0, 0, 0, 0, 28, 32, 153
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\.ipynb_checkpoints\cleanRawText-checkpoint.py", "Python", 19, 0, 0, 0, 0, 24, 7, 50
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\.ipynb_checkpoints\dataPipeline-checkpoint.py", "Python", 76, 0, 0, 0, 0, 66, 32, 174
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\.ipynb_checkpoints\linkChecker-checkpoint.py", "Python", 28, 0, 0, 0, 0, 20, 11, 59
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\.ipynb_checkpoints\singleScrape-checkpoint.py", "Python", 42, 0, 0, 0, 0, 29, 8, 79
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\ELT_scrape.py", "Python", 62, 0, 0, 0, 0, 59, 40, 161
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\ELT_searching.py", "Python", 152, 0, 0, 0, 0, 59, 32, 243
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\ELT_transform.py", "Python", 117, 0, 0, 0, 0, 57, 36, 210
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\basic_gui.py", "Python", 114, 0, 0, 0, 0, 70, 21, 205
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\cleanRawText.py", "Python", 49, 0, 0, 0, 0, 37, 12, 98
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\dataPipeline.py", "Python", 101, 0, 0, 0, 0, 59, 21, 181
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\linkChecker.py", "Python", 47, 0, 0, 0, 0, 33, 16, 96
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\proxy\proxy_checker.py", "Python", 21, 0, 0, 0, 0, 3, 9, 33
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\rawKeeper_ELT.py", "Python", 22, 0, 0, 0, 0, 14, 8, 44
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\singleScrape.py", "Python", 37, 0, 0, 0, 0, 54, 9, 100
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_ELT_scrape.py", "Python", 29, 0, 0, 0, 0, 12, 10, 51
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_ELT_transform_main_database.py", "Python", 18, 0, 0, 0, 0, 4, 8, 30
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_ELT_transform_raw_database.py", "Python", 28, 0, 0, 0, 0, 8, 8, 44
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_cleanRawText.py", "Python", 41, 0, 0, 0, 0, 17, 11, 69
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_dataPipeline_insert_side.py", "Python", 111, 0, 0, 0, 0, 36, 20, 167
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_dataPipeline_remove_side.py", "Python", 29, 0, 0, 0, 0, 9, 13, 51
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_linkChecker.py", "Python", 44, 0, 0, 0, 0, 23, 12, 79
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_rawKeeper_ELT.py", "Python", 29, 0, 0, 0, 0, 19, 14, 62
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_singleScrape.py", "Python", 29, 0, 0, 0, 0, 26, 13, 68
"Total", "-", 1338, 59, 37292, 586, 740, 843, 1525, 42383
