"filename", "language", "SQL", "Python", "comment", "blank", "total"
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\database_elt_main.db", "SQL", 198, 0, 0, 6, 204
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_dev\database_elt_main_small.db", "SQL", 56, 0, 0, -1, 55
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test.db", "SQL", -6, 0, 0, 0, -6
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_TestMainDatabase.db", "SQL", -7, 0, 0, 0, -7
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_database.db", "SQL", -5, 0, 0, 0, -5
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_database2.db", "SQL", -5, 0, 0, 0, -5
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_linkChecker_database.db", "SQL", 6, 0, 0, 0, 6
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_main_database.db", "SQL", -5, 0, 0, 0, -5
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\for_test\test_raw_database.db", "SQL", -47, 0, 0, -4, -51
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\database\test_database.db", "SQL", -4, 0, 0, 0, -4
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\ELT_searching.py", "Python", 0, 2, 36, 2, 40
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\ELT_transform.py", "Python", 0, 7, 1, 0, 8
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\basic_gui.py", "Python", 0, 17, 6, 4, 27
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\dataPipeline.py", "Python", 0, 0, -2, -2, -4
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\linkChecker.py", "Python", 0, 1, -1, -1, -1
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_ELT_searching.py", "Python", 0, 33, 6, 8, 47
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_LinkChecker_access.py", "Python", 0, 20, 2, 7, 29
"c:\Users\aingt\OneDrive\Documents\GitHub\swdev02_work\project\src\test_linkChecker.py", "Python", 0, -2, 11, 2, 11
"Total", "-", 181, 78, 59, 21, 339
