country,lat,long
aruba,12.51756625,-69.98186415210564
afghanistan,33.7680065,66.2385139
angola,-11.8775768,17.5691241
anguilla,18.1954947,-63.0750234
åland islands,60.2166218,19.9438638
albania,41.000028,19.9999619
andorra,42.5407167,1.5732033
united arab emirates,24.0002488,53.9994829
argentina,-34.9964963,-64.9672817
armenia,40.7696272,44.6736646
american samoa,-14.297124,-170.7131481
antarctica,-79.4063075,0.3149312
french southern territories,-49.237441950000004,69.62275903679347
antigua and barbuda,17.2234721,-61.9554608
australia,-24.7761086,134.755
austria,47.59397,14.12456
azerbaijan,40.3936294,47.7872508
burundi,-3.426449,29.9324519
belgium,50.6402809,4.6667145
benin,9.5293472,2.2584408
burkina faso,12.0753083,-1.6880314
bangladesh,24.4769288,90.2934413
bulgaria,42.6073975,25.4856617
bahrain,26.1551249,50.5344606
bahamas,24.7736546,-78.0000547
bosnia and herzegovina,44.3053476,17.5961467
saint barthélemy,17.9036287,-62.81152921501989
belarus,53.4250605,27.6971358
belize,16.8259793,-88.7600927
bermuda,32.30382,-64.7561647
"bolivia, plurinational state of",-17.0568696,-64.9912286
brazil,-10.3333333,-53.2
barbados,13.1500331,-59.5250305
brunei darussalam,4.4137155,114.5653908
bhutan,27.549511,90.5119273
bouvet island,-54.4201305,3.3599732952297483
botswana,-23.1681782,24.5928742
central african republic,7.0323598,19.9981227
canada,61.0666922,-107.991707
cocos (keeling) islands,-12.0728315,96.8409375
switzerland,46.7985624,8.2319736
chile,-31.7613365,-71.3187697
china,35.000074,104.999927
côte d'ivoire,7.9897371,-5.5679458
cameroon,4.6125522,13.1535811
"congo, the democratic republic of the",-2.9814344,23.8222636
congo,-2.9814344,23.8222636
cook islands,-19.99697155,-157.78587140620786
colombia,4.099917,-72.9088133
comoros,-12.2045176,44.2832964
cabo verde,16.0000552,-24.0083947
costa rica,10.2735633,-84.0739102
cuba,23.0131338,-80.8328748
curaçao,12.21339425,-69.0408499890865
christmas island,-10.49131475,105.61713690269079
cayman islands,19.703182249999998,-79.9174627243246
cyprus,34.9823018,33.1451285
czechia,49.7439047,15.3381061
germany,51.1638175,10.4478313
djibouti,11.8145966,42.8453061
dominica,19.0974031,-70.3028026
denmark,55.670249,10.3333283
dominican republic,19.0974031,-70.3028026
algeria,28.0000272,2.9999825
ecuador,-1.3397668,-79.3666965
egypt,26.2540493,29.2675469
eritrea,15.9500319,37.9999668
western sahara,24.1797324,-13.7667848
spain,39.3260685,-4.8379791
estonia,58.7523778,25.3319078
ethiopia,10.2116702,38.6521203
finland,63.2467777,25.9209164
fiji,-18.1239696,179.0122737
falkland islands (malvinas),-51.9492937,-59.5383657
france,46.603354,1.8883335
faroe islands,62.0448724,-7.0322972
"micronesia, federated states of",8.6062347,151.832744331612
gabon,-0.8999695,11.6899699
united kingdom,54.7023545,-3.2765753
georgia,32.3293809,-83.1137366
guernsey,49.4566233,-2.5822348
