,ID,totalTerm,URL
0,1,404,https://www.35mmc.com/26/02/2021/panorama-wide-pic-review/
0,2,333,https://www.35mmc.com/20/05/2016/halina-af700-review/
0,3,962,https://www.35mmc.com/15/08/2022/ricoh-mirai-olympus-az-4-zoom-review-fraternal-twins-by-david-tellet/
0,4,433,https://www.35mmc.com/28/10/2020/pf-micro-110-high-tech-110-camera-and-some-fresh-film-by-jordi-fradera/
0,5,1279,https://www.35mmc.com/05/06/2020/fujifilm-zoom-date-1000-1300-and-160s-review/
0,6,1175,https://www.35mmc.com/28/01/2019/cosina-cx-2-review/
0,7,763,https://www.35mmc.com/11/03/2021/minox-110s-a-mini-review/
0,8,659,https://www.35mmc.com/22/12/2020/panasonic-c-3000zm-review/
0,9,474,https://www.35mmc.com/27/03/2016/olympus-xa2-review-love-camera/
0,10,590,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,11,578,https://www.35mmc.com/14/01/2014/fuji-zoom-date-2-8-silvi-review/
0,12,590,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,13,501,https://www.35mmc.com/02/05/2019/yashica-auto-focus-moto-review/
0,14,647,https://www.35mmc.com/27/11/2020/agfa-optima-sensor-flash-review/
0,15,828,https://www.35mmc.com/12/11/2021/lensfayre-snap-lf35-m-a-sustainable-customisable-reusable-camera/
0,16,1262,https://www.35mmc.com/28/10/2022/olympus-trip-35-on-holiday-part-1-keeping-it-simple-in-new-zealand-by-david-hume/
0,17,590,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,18,1262,https://www.35mmc.com/28/10/2022/olympus-trip-35-on-holiday-part-1-keeping-it-simple-in-new-zealand-by-david-hume/
0,19,751,https://www.35mmc.com/20/11/2016/minox-35gt-ilford-hp5-streets-berlin/
0,20,1149,https://www.35mmc.com/23/11/2018/voigtlander-vito-ii-review/
0,21,758,https://www.35mmc.com/26/07/2022/konica-ee-matic-260-ilford-sportsman-c-reviving-two-instamatic-cameras-by-tobias-eriksson/
0,22,610,https://www.35mmc.com/14/04/2018/konica-aa-35-reporter-review/
0,23,624,https://www.35mmc.com/08/06/2016/samsung-vega-140s-review/
0,24,1613,https://www.35mmc.com/23/08/2015/olympus-mju-iii-wide-100-review/
0,25,648,https://www.35mmc.com/17/11/2016/canon-sure-shot-sleekprima-mini-ii-review/
0,26,751,https://www.35mmc.com/20/11/2016/minox-35gt-ilford-hp5-streets-berlin/
0,27,2257,https://www.35mmc.com/14/03/2015/rollei-35se-review-zone-focus-camera/
0,28,1263,https://www.35mmc.com/25/05/2021/rollei-a110-the-110-a-review-by-bob-janes/
0,29,1090,https://www.35mmc.com/01/07/2019/lomo-lc-a-a-one-roll-15-year-review/
0,30,867,https://www.35mmc.com/12/11/2017/nikonos-iii-dry-land-review/
0,31,828,https://www.35mmc.com/12/11/2021/lensfayre-snap-lf35-m-a-sustainable-customisable-reusable-camera/
0,32,1519,https://www.35mmc.com/13/10/2022/alfie-tych-preview-an-eccentric-camera-that-fits-in-the-palm-of-your-hand/
0,33,484,https://www.35mmc.com/21/02/2019/nikonos-v-35mm-f-2-5-fuji-superia-x-tra-400/
0,34,460,https://www.35mmc.com/13/08/2020/hanimex-vef-mini-camera-mini-review-by-tobias-eriksson/
0,35,593,https://www.35mmc.com/07/12/2018/canon-sure-shot-max-review/
0,36,1661,https://www.35mmc.com/05/04/2019/voigtlander-vito-bl-by-andrew-morang/
0,37,631,https://www.35mmc.com/29/03/2019/nikon-l35af-a-mini-review-by-giacomo-zema/
0,38,1279,https://www.35mmc.com/05/06/2020/fujifilm-zoom-date-1000-1300-and-160s-review/
0,39,721,https://www.35mmc.com/03/09/2021/texet-tx-500-review-fake-autoexposure-compact-by-rock/
0,40,912,https://www.35mmc.com/08/01/2015/olympus-af-10-super-review/
0,41,1072,https://www.35mmc.com/03/06/2021/my-journey-shooting-85-analog-cameras-and-writing-a-book-about-it-by-christof-bircher/
0,42,531,https://www.35mmc.com/24/05/2015/chinon-auto-3001/
0,43,1519,https://www.35mmc.com/13/10/2022/alfie-tych-preview-an-eccentric-camera-that-fits-in-the-palm-of-your-hand/
0,44,590,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,45,802,https://www.35mmc.com/02/02/2021/minox-35-gt-e-review-scale-focusing-a-pocket-camera-by-anton-yakovlev/
0,46,516,https://www.35mmc.com/22/01/2021/regula-rm-mastra-v35-review/
0,47,573,https://www.35mmc.com/07/08/2020/vivitar-tec-45-and-panasonic-c-600-review/
0,48,2042,https://www.35mmc.com/29/03/2021/rollei-35-my-experiences-with-and-love-for-these-little-cameras/
0,49,439,https://www.35mmc.com/31/03/2016/lomo-lc-love-review/
0,50,519,https://www.35mmc.com/19/05/2020/panasonic-lumix-lc5-review/
0,51,672,https://www.35mmc.com/23/05/2019/chinon-bellami-mini-review/
0,52,1661,https://www.35mmc.com/05/04/2019/voigtlander-vito-bl-by-andrew-morang/
0,53,855,https://www.35mmc.com/29/12/2019/panasonic-gm1-a-digital-ilc-alternative-to-the-olympus-xa2-by-charles-higham/
0,54,596,https://www.35mmc.com/08/12/2020/yashica-rapide-half-frame-review/
0,55,800,https://www.35mmc.com/28/10/2017/canon-demi-c-half-review-tobias-eriksson/
0,56,875,https://www.35mmc.com/05/01/2021/olympus-af-1-mini-review/
0,57,957,https://www.35mmc.com/13/12/2015/voigtlander-bessa-l-review/
0,58,1149,https://www.35mmc.com/23/11/2018/voigtlander-vito-ii-review/
0,59,910,https://www.35mmc.com/03/02/2021/rollei-35s-choosing-a-film-partner-for-another-pocket-camera-by-phil-calvit/
0,60,2257,https://www.35mmc.com/14/03/2015/rollei-35se-review-zone-focus-camera/
0,61,891,https://www.35mmc.com/23/04/2017/nikonos-v-underwater/
0,62,647,https://www.35mmc.com/18/05/2013/voigtlander-vito-b-review/
0,63,957,https://www.35mmc.com/13/12/2015/voigtlander-bessa-l-review/
0,64,683,https://www.35mmc.com/09/02/2021/diax-l-1-a-review/
0,65,886,https://www.35mmc.com/16/05/2016/olympus-pen-ee-2-review-2/
0,66,627,https://www.35mmc.com/11/01/2019/minox-35-gt-guest-review/
0,67,758,https://www.35mmc.com/26/07/2022/konica-ee-matic-260-ilford-sportsman-c-reviving-two-instamatic-cameras-by-tobias-eriksson/
0,68,396,https://www.35mmc.com/01/10/2022/voigtlander-vito-cl-the-dad-cam-by-hans-gastafsson/
0,69,910,https://www.35mmc.com/03/02/2021/rollei-35s-choosing-a-film-partner-for-another-pocket-camera-by-phil-calvit/
0,70,454,https://www.35mmc.com/02/09/2017/olympus-pen-ee-2-review/
0,71,370,https://www.35mmc.com/15/12/2019/zeiss-ikon-contina-iii-review-by-charles-higham/
0,72,1024,https://www.35mmc.com/31/10/2022/voigtlander-vito-iia-review-going-full-circle-by-tony-warren/
0,73,449,https://www.35mmc.com/17/06/2017/smena-8m-review-sometimes-just-play/
0,74,994,https://www.35mmc.com/28/05/2017/kodak-retinette-1a-review/
0,75,867,https://www.35mmc.com/12/11/2017/nikonos-iii-dry-land-review/
0,76,1175,https://www.35mmc.com/28/01/2019/cosina-cx-2-review/
0,77,590,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,78,578,https://www.35mmc.com/01/07/2020/olympus-xa-and-other-compacts-rediscovering-old-flames-by-alan-reich/
0,79,2257,https://www.35mmc.com/14/03/2015/rollei-35se-review-zone-focus-camera/
0,80,412,https://www.35mmc.com/28/08/2020/fight-of-the-fifties-by-bent_brent/
0,81,511,https://www.35mmc.com/07/11/2015/first-film-camera-part-2-guest-post-aukje/
0,82,867,https://www.35mmc.com/12/11/2017/nikonos-iii-dry-land-review/
0,83,2042,https://www.35mmc.com/29/03/2021/rollei-35-my-experiences-with-and-love-for-these-little-cameras/
0,84,971,https://www.35mmc.com/15/12/2013/my-failing-right-eye-an-old-watch-the-leica-m7-and-learning-how-to-frame-a-photo-again/
0,85,891,https://www.35mmc.com/23/04/2017/nikonos-v-underwater/
0,86,1260,https://www.35mmc.com/12/07/2016/lomo-lc-a-alternatives/
0,87,1001,https://www.35mmc.com/27/12/2021/comparing-the-zeiss-icon-voigtlander-500-se-electronic-and-the-1000-sr-by-nigel-h/
0,88,1175,https://www.35mmc.com/28/01/2019/cosina-cx-2-review/
0,89,611,https://www.35mmc.com/21/09/2022/foveon-color-and-infrared-black-white-back-to-back-comparison-w-sigma-dp2-quattro-and-sd-quattro-by-eric-l-woods/
0,90,685,https://www.35mmc.com/14/02/2015/karmera-act-giving-away-gear/
0,91,469,https://www.35mmc.com/15/08/2016/leica-m8-important-use-ccd-look-photos/
0,92,1104,https://www.35mmc.com/22/06/2020/enjoying-some-pentax-slr-gear-acquisition-syndrome/
0,93,490,https://www.35mmc.com/07/11/2019/why-are-you-carrying-the-camera-by-frank-h-wu/
0,94,705,https://www.35mmc.com/09/08/2014/film-camera-tool-more/
0,95,1305,https://www.35mmc.com/06/06/2022/hiking-the-uncanny-valley-by-don-goodman-wilson/
0,96,265,https://www.35mmc.com/01/01/2016/the-gas-horseshoe/
0,97,596,https://www.35mmc.com/08/12/2020/yashica-rapide-half-frame-review/
0,98,1262,https://www.35mmc.com/28/10/2022/olympus-trip-35-on-holiday-part-1-keeping-it-simple-in-new-zealand-by-david-hume/
0,99,164,https://www.35mmc.com/07/06/2013/petri-color-35-through-the-viewfinder/
0,100,1265,https://www.35mmc.com/14/01/2019/leica-standard-review/
0,101,758,https://www.35mmc.com/26/07/2022/konica-ee-matic-260-ilford-sportsman-c-reviving-two-instamatic-cameras-by-tobias-eriksson/
0,102,1216,https://www.35mmc.com/17/12/2019/cameradactyl-brancopan/
0,103,672,https://www.35mmc.com/23/05/2019/chinon-bellami-mini-review/
0,104,479,https://www.35mmc.com/30/03/2019/olympus-mju-ii-kodak-t-max-400-lessons-from-the-forgotten-ones-by-jon-yk-lee/
