,Product Name,Price,Item Sale,Retailer Location,Product URL
0,"💥จัดส่งที่รวดเร็ว💥รองเท้า KEEN ผู้หญิง รุ่น KEEN UNEEK ""BLACK/BLACK""","฿2,580",ขายแล้ว 4.8พัน ชิ้น,จังหวัดกรุงเทพมหานคร,https://shopee.co.th//💥จัดส่งที่รวดเร็ว💥รองเท้า-KEEN-ผู้หญิง-รุ่น-KEEN-UNEEK-BLACK-BLACK--i.555033723.15235268994?sp_atk=3262219d-da65-4f9c-8f04-4aa7363ba863&xptdk=3262219d-da65-4f9c-8f04-4aa7363ba863
1,รองเท้าบู๊ทส์แฟชั่นผู้ชายลายพรางสไตล์คาวบอย + หนังนิ่ม,฿372,ขายแล้ว 235 ชิ้น,ต่างประเทศ,https://shopee.co.th//รองเท้าบู๊ทส์แฟชั่นผู้ชายลายพรางสไตล์คาวบอย-หนังนิ่ม-i.253155965.12514569617?sp_atk=b53fc245-4717-45cf-b992-728a211ce485&xptdk=b53fc245-4717-45cf-b992-728a211ce485
2,รองเท้าแตะ รองเท้าหนัง ระบายอากาศ สามารถปรับได้ เหมาะกับเดินชายหาดกลางแจ้ง แฟชั่นฤดูร้อน สําหรับผู้ชาย,฿329 - ฿397,ขายแล้ว 51 ชิ้น,ต่างประเทศ,https://shopee.co.th//รองเท้าแตะ-รองเท้าหนัง-ระบายอากาศ-สามารถปรับได้-เหมาะกับเดินชายหาดกลางแจ้ง-แฟชั่นฤดูร้อน-สําหรับผู้ชาย-i.820992909.21324978220?sp_atk=fa4560cf-a196-4f0a-8d5f-5a4c13174cae&xptdk=fa4560cf-a196-4f0a-8d5f-5a4c13174cae
3,[พร้อมส่ง ] PEAK Taichi Extreme รองเท้าวิ่ง แคมป์ปิ้ง เดินป่า เดินชายหาด กันน้ำ E12005L E13005L ET14267L,"฿1,125 - ฿1,935",ขายแล้ว 648 ชิ้น,จังหวัดกรุงเทพมหานคร,https://shopee.co.th//-พร้อมส่ง-PEAK-Taichi-Extreme-รองเท้าวิ่ง-แคมป์ปิ้ง-เดินป่า-เดินชายหาด-กันน้ำ-E12005L-E13005L-ET14267L-i.58541561.12042967263?sp_atk=e0b6ed57-13a5-4477-aa75-a5c4d5bbe3d0&xptdk=e0b6ed57-13a5-4477-aa75-a5c4d5bbe3d0
4,รองเท้าเดินป่า outdoor รองเท้าเดินป่า ขนาดใหญ่ เหมาะกับใส่กลางแจ้ง สําหรับผู้ชาย และผู้หญิงรองเท้าเดินป่า,฿538,ขายแล้ว 12 ชิ้น,ต่างประเทศ,https://shopee.co.th//รองเท้าเดินป่า-outdoor-รองเท้าเดินป่า-ขนาดใหญ่-เหมาะกับใส่กลางแจ้ง-สําหรับผู้ชาย-และผู้หญิงรองเท้าเดินป่า-i.886902550.23803281080?sp_atk=aaa75b01-6d94-46de-bd3a-9f2b32201f27&xptdk=aaa75b01-6d94-46de-bd3a-9f2b32201f27
5,🍃รองเท้าปีนเขา🍃 กลางแจ้งตาข่ายรองเท้าเดินลุยน้ำ รองเท้าเดินป่าระบายอากาศ ไม่ลื่น ทนต่อการสึกหรอ,฿179 - ฿189,ขายแล้ว 1.1พัน ชิ้น,จังหวัดกรุงเทพมหานคร,https://shopee.co.th//🍃รองเท้าปีนเขา🍃-กลางแจ้งตาข่ายรองเท้าเดินลุยน้ำ-รองเท้าเดินป่าระบายอากาศ-ไม่ลื่น-ทนต่อการสึกหรอ-i.476277017.17873959049?sp_atk=d82a0bd9-14f6-4641-8944-b27ebcb99dda&xptdk=d82a0bd9-14f6-4641-8944-b27ebcb99dda
6,【ส่งจากไทย】รองเท้าปีนเขา กลางแจ้งตาข่ายรองเท้าเดินลุยน้ำ พื้นนุ่ม กันลื่น สวมใส่สบาย ระบายอากาศได้ดี,฿189,ขายแล้ว 62 ชิ้น,จังหวัดกรุงเทพมหานคร,https://shopee.co.th//【ส่งจากไทย】รองเท้าปีนเขา-กลางแจ้งตาข่ายรองเท้าเดินลุยน้ำ-พื้นนุ่ม-กันลื่น-สวมใส่สบาย-ระบายอากาศได้ดี-i.476263893.20914718925?sp_atk=5d912ef0-b8ac-4f80-a3d3-52392123f6b0&xptdk=5d912ef0-b8ac-4f80-a3d3-52392123f6b0
7,รองเท้าแตะส้นสูง เชือกถัก รองเท้าเดินป่า รองเท้าแตะสำหรับผู้ชายและผู้หญิง (พร้อมส่งจากประเทศไทย!),฿289 - ฿389,ขายแล้ว 17 ชิ้น,จังหวัดสมุทรปราการ,https://shopee.co.th//รองเท้าแตะส้นสูง-เชือกถัก-รองเท้าเดินป่า-รองเท้าแตะสำหรับผู้ชายและผู้หญิง-(พร้อมส่งจากประเทศไทย!)-i.774347726.20239467227?sp_atk=3552749a-07e6-4b2d-8c72-04db000245d3&xptdk=3552749a-07e6-4b2d-8c72-04db000245d3
8,SALE!!【Logo with KEEN】 รองเท้ารัดส้น ชาย หญิง เชือกถักสาน รองเท้าเดินป่า,฿245,No Sale,จังหวัดอุทัยธานี,https://shopee.co.th//SALE!!【Logo-with-KEEN】-รองเท้ารัดส้น-ชาย-หญิง-เชือกถักสาน-รองเท้าเดินป่า-i.905040960.23206463328?sp_atk=b99c8145-7d74-4beb-b0b5-eb88c689b2e5&xptdk=b99c8145-7d74-4beb-b0b5-eb88c689b2e5
9,12.12 ใส่ MSDEC15 ลด 50.-  🔥 แตะ รัด ส้น สไตล์ Sandal ชาย หญิง （สีต่างๆ）รองเท้าใหญ่ รองเท้าแตะรองเท้าแตะ,฿285 - ฿389,ขายแล้ว 2.3พัน ชิ้น,จังหวัดสมุทรปราการ,https://shopee.co.th//12.12-ใส่-MSDEC15-ลด-50.-🔥-แตะ-รัด-ส้น-สไตล์-Sandal-ชาย-หญิง-（สีต่างๆ）รองเท้าใหญ่-รองเท้าแตะรองเท้าแตะ-i.404091876.9153702600?sp_atk=cab6cab7-144e-41a8-b8a1-9f2068460331&xptdk=cab6cab7-144e-41a8-b8a1-9f2068460331
